32689;16/03/2018 19:40;16/03/2018 22:00;18030068;1;68
32690;17/03/2018 06:00;17/03/2018 06:50;;20;69
32691;17/03/2018 06:50;17/03/2018 08:55;18030068;1;69
32696;17/03/2018 08:55;17/03/2018 08:55;18030068;2;69
32699;17/03/2018 08:55;17/03/2018 11:20;;9;69
32703;17/03/2018 11:20;17/03/2018 12:00;18030043;1;70
32704;17/03/2018 12:00;17/03/2018 13:00;;23;70
32705;17/03/2018 13:00;17/03/2018 15:12;;11;70
46305;19/03/2018 06:00;19/03/2018 06:50;;20;30
46306;19/03/2018 06:50;19/03/2018 12:45;18030043;1;30
46311;19/03/2018 12:45;19/03/2018 12:45;18030043;2;31
46315;19/03/2018 12:45;19/03/2018 14:00;;9;31
46318;19/03/2018 14:00;19/03/2018 14:15;;9;31
46319;19/03/2018 14:15;19/03/2018 16:20;18030044;1;31
46320;19/03/2018 16:20;19/03/2018 16:20;18030044;2;32
46322;19/03/2018 16:20;19/03/2018 17:30;;9;32
46326;19/03/2018 17:30;19/03/2018 18:30;;23;32
46327;19/03/2018 18:30;19/03/2018 20:10;;9;32
46328;19/03/2018 20:10;19/03/2018 22:00;18020235;1;32
46333;19/03/2018 22:00;20/03/2018 01:45;18020235;1;33
46336;20/03/2018 01:45;20/03/2018 01:45;18020235;2;33
46343;20/03/2018 01:45;20/03/2018 02:00;;9;34
46347;20/03/2018 02:00;20/03/2018 03:00;;23;34
46348;20/03/2018 03:00;20/03/2018 05:10;;9;34
46349;20/03/2018 05:10;20/03/2018 06:00;;22;34
51161;20/03/2018 06:00;20/03/2018 08:30;;9;16
51162;20/03/2018 08:30;20/03/2018 11:15;;4;16
51163;20/03/2018 11:15;20/03/2018 12:15;;23;16
51164;20/03/2018 12:15;20/03/2018 13:00;;4;16
51165;20/03/2018 13:00;20/03/2018 14:00;18030083;1;16
51166;20/03/2018 22:00;20/03/2018 22:20;;20;16
51167;20/03/2018 22:20;21/03/2018 00:50;18030083;1;16
51174;21/03/2018 00:50;21/03/2018 00:50;18030083;2;17
51177;21/03/2018 00:50;21/03/2018 01:50;;3;17
51183;21/03/2018 01:50;21/03/2018 02:00;18030096;1;18
51184;21/03/2018 02:00;21/03/2018 03:00;;23;18
51185;21/03/2018 03:00;21/03/2018 06:00;18030096;1;18
52673;21/03/2018 06:00;21/03/2018 06:35;18030096;1;67
52677;21/03/2018 06:35;21/03/2018 06:35;18030096;2;67
52680;21/03/2018 06:35;21/03/2018 08:00;;9;68
52681;21/03/2018 08:00;21/03/2018 11:30;;4;68
52682;21/03/2018 11:30;21/03/2018 12:30;;23;68
52683;21/03/2018 12:30;21/03/2018 14:00;;4;68
52684;21/03/2018 22:00;22/03/2018 00:00;;9;68
52685;22/03/2018 00:00;22/03/2018 01:00;;4;68
52686;22/03/2018 01:00;22/03/2018 03:30;;19;68
52687;22/03/2018 03:30;22/03/2018 04:00;;9;68
52688;22/03/2018 04:00;22/03/2018 04:30;18030088;1;68
52689;22/03/2018 04:30;22/03/2018 06:00;;11;68
53681;22/03/2018 06:00;22/03/2018 06:30;;4;68
53682;22/03/2018 06:30;22/03/2018 07:30;18030088;1;68
53688;22/03/2018 07:30;22/03/2018 08:15;;4;68
53689;22/03/2018 08:15;22/03/2018 11:30;18030088;1;68
53696;22/03/2018 11:30;22/03/2018 12:30;;23;69
53697;22/03/2018 12:30;22/03/2018 14:00;18030088;1;69
53705;22/03/2018 14:00;22/03/2018 14:50;18030088;1;70
53711;22/03/2018 14:50;22/03/2018 14:50;18030088;2;71
